City,State,Title,Address,Phone,Website,Rating,Rating_Count,Category,Scraped_Email,Scraped_Phone,Facebook_URL,Instagram_URL,LinkedIn_URL,YouTube_URL
Chennai,Tamil Nadu,Tamiztrader Academy,"Our class ADDRESS: No.4,2nd FloorNew, saidapet/ T. nagar, S W Boag Rd, Kannammapet, T. Nagar, Tamil Nadu 600017",087546 32758,https://tamiztradersudarshan.com/,4.9,230.0,Education center,tamiztrader@gmail.com,6542401405,,https://www.instagram.com/tamiz_trader,,https://www.youtube.com/channel/UC6E3mm8O_NbCPMPWEiK37XQ
Chennai,Tamil Nadu,Piivot Share Trading institute,"No. 2, 56, NGO Colony Main Rd, near Ammai Appan Store, Vadapalani, Chennai, Tamil Nadu 600026",090805 96765,,4.6,33.0,Online Share Trading Center,,,,,,
Chennai,Tamil Nadu,Monica Training Academy,"Sami Nagar, Thiruninavur, Chennai, Tamil Nadu 602024",072995 79419,,4.9,44.0,Training center,,,,,,
Chennai,Tamil Nadu,Fedu Academy,"New No 23, Unit No 06, Suite No 36, 5th Floor, Westcott Road, New Colony, Royapettah, Chennai, Tamil Nadu 600014",098412 36542,http://www.feduacademy.com/,4.5,98.0,Training center,info@feduacademy.com,,,,,
Chennai,Tamil Nadu,EQSIS,"2nd Floor, A' Wing, MGM Diamond Building, No 136, Velachery Main Rd, Saidapet, Chennai, Tamil Nadu 600015",095006 65095,https://www.eqsis.com/,5.0,229.0,Training center,,7407683265,,,,
Chennai,Tamil Nadu,Sai Sharetute,"13, Mooparappan St, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600017",098409 20751,https://saisharetute.in/,3.8,30.0,Trade school,saisharetutechennai@gmail.com,9840700751,,,,
Chennai,Tamil Nadu,Stockmonktradingclub,"2nd Floor, BOI Building, 8/17, Mahalakshmi St, T. Nagar, Chennai, Tamil Nadu 600017",099946 67148,http://www.stockmonktradingclub.com/,4.5,21.0,Stock broker,,,,,,
Chennai,Tamil Nadu,TRADE GENIUZ,"R.TOWERS, S.K, Alapakkam Main Rd, Sundar Nagar, Alappakkam, Chennai, Tamil Nadu 600116",081484 46225,http://www.tradegeniuz.com/,4.8,226.0,Online Share Trading Center,support@tradegeniuz.com,6037193579,,https://www.instagram.com/tradegeniuscapitals/?hl=en,,https://www.youtube.com/channel/UCPC-Vq5-fqqnTZzpGiifP2Q
Chennai,Tamil Nadu,Traderz Arena,"4, 2nd Cross St, East Kamakoti Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087",093631 19191,,4.8,4.0,Online Share Trading Center,,,,,,
Chennai,Tamil Nadu,Trading Path,"43/32, 1st St, Sarvamangala Colony, Pudur, Ashok Nagar, Chennai, Tamil Nadu 600083",099426 46880,https://wa.me/message/T3FR2G76XQ4TC1,4.9,120.0,Training center,,7895072957,https://www.facebook.com/profile.php?id=100064758844406,https://www.instagram.com/whatsapp/?hl=en,,https://www.youtube.com/channel/UCAuerig2N-RZWJT8x75V9yw
Chennai,Tamil Nadu,MarketScale Trading Academy-MASTA,,093630 20620,https://marketscaletradingcourse.com/,4.9,577.0,Coaching Center,,,,,,
Chennai,Tamil Nadu,Tamil share market academy,"PLOT 21 A FLAT F1 B THIRUMAGAL NAGAR, Selaiyur, Tambaram, Tamil Nadu 600073",099403 77681,https://tamilsharemarket.in/,4.7,15.0,Financial consultant,support@tamilsharemarket.in,+91 9940377681,https://www.facebook.com/profile.php?id=100076929233991,https://www.instagram.com/saravananaxisdirect/,https://www.linkedin.com/in/saravanan-saravanan-10a908229/,
Chennai,Tamil Nadu,Kite Academy,"Building, New No. 37, Old No. 110 4th Floor, Chateau D Ampa, Nelson Manickam Rd, Aminjikarai, Chennai, Tamil Nadu 600030",098408 46066,https://kiteacademy.co.in/,4.9,285.0,Educational institution,info@indiantypefoundry.com,6464088397,,https://www.instagram.com/kiteacademy_chennai,,https://www.youtube.com/@KITEAcademy_Chennai
Chennai,Tamil Nadu,Market Gain,"New No.62, Old No.106, 2nd floor, Chamiers Rd, Teynampet, Chennai, Tamil Nadu 600035",097910 62999,,4.5,44.0,Online Share Trading Center,,,,,,
Chennai,Tamil Nadu,Tradezillion Professional Stock Market Training Academy,"2nd Floor, Sri Lakshmi Complex, 208-B, Cross Cut Rd, Gandhipuram, Coimbatore, Tamil Nadu 641012",096553 70008,https://www.tradezillion.com/,4.9,116.0,Training center,info@tradezillion.com,,,,,
Chennai,Tamil Nadu,GOPOCKET - Share Trading and Training Centre,"J.V.L. Arcade, 18/199, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017",099407 50690,https://gopocket.in/,4.5,44.0,Online Share Trading Center,hello@gopocket.in,8618929543,https://www.facebook.com/Gopocketoffical/,https://www.instagram.com/gopocket_official/,,https://www.youtube.com/playlist?list=PLrYyePLIggbAruYyabCqaGG7vQHG2gzoq
Chennai,Tamil Nadu,Stock Market Training and Wealth Management by Excelsior,"second floor, 90/1, Landons Rd, Kilpauk, Chennai, Tamil Nadu 600010",070194 27651,https://www.tradexcelsior.com/,5.0,10.0,Educational institution,tradexcelsior@gmail.com,6000000000,,,,
Chennai,Tamil Nadu,Zigma traders,"T1, 3rd Floor, Anna valagham, 82, Arcot Rd, Trustpuram, Kodambakkam, Chennai, Tamil Nadu 600024",090428 68767,https://zigmatraders.in/,5.0,103.0,Financial institution,,6156302413,https://www.facebook.com/profile.php?id=61567045196641,https://www.instagram.com/zigma_traders/,,https://www.youtube.com/@ZigmaTradersofficial
Chennai,Tamil Nadu,Pangusandhai.com,"3rd Floor, W - 126, Anna Nagar, Chennai, Tamil Nadu 600040",081900 04353,https://pangusandhai.com/,4.9,116.0,Educational institution,,6826568265,https://www.facebook.com/profile.php?id=61571457717264,https://www.instagram.com/pangusandhai_com/,,
Chennai,Tamil Nadu,Sri Ram Stocks Solution,"Sri Ram Stocks Solution W - 126, 3rd floor, Anna Nagar, Chennai, Tamil Nadu 600040",076399 27298,http://www.sriramstockssolution.com/,4.8,65.0,Stock broker,,+91 7639927298,https://www.facebook.com/sriramstockssolution,https://www.instagram.com/sriramstockssolution/,,
Chennai,Tamil Nadu,Trendy Traders Academy | Trading Institute in Bangalore,"3rd Floor, Building 18, 24th Main Rd, 5th Phase, Nagaraja Garden, J. P. Nagar, Bengaluru, Karnataka 560078",072200 22266,https://www.trendytraders.in/,4.7,421.0,Educational institution,update@trendytraders.in,8597209999,https://www.facebook.com/traderstrendy/,https://www.instagram.com/trendy.traders/,https://www.linkedin.com/company/trendyy-traders/,https://www.youtube.com/@trendytraders
Chennai,Tamil Nadu,TRADING MEDIA -Option Trading Academy,"Chidambaram, Tamil Nadu 608001",096776 57713,https://sites.google.com/view/tradingmedia/home,4.5,2.0,Training center,,7895073180,,https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Ftrading_media_%3Figsh%3DamZvZnlwcXZwdjh5&amp;sa=D&amp;sntz=1&amp;usg=AOvVaw3dZV6ON7RoyilRK9PAyNlY,,https://youtube.com/@trading_media_tamil?si=Y7AAtreXxxbZ8yTx
Chennai,Tamil Nadu,AFOFA Trading Academy,"First floor, Plot No 19, Sabari Salai, Madipakkam, Moovarasampettai, Tamil Nadu 600091",099522 72370,https://afofatradingacademy.com/,4.9,10.0,Training center,contact@afofatradingacademy.com,9941652530,https://www.facebook.com/afofatradingacademy,https://www.instagram.com/afofa_tradingacademy/,,https://www.youtube.com/@GMSTOCKPRO
Chennai,Tamil Nadu,Lifelong Profit,"Door No: 3, Perumal Nagar, Pallikaranai, Chennai, Tamil Nadu 600100",088077 83038,https://lifelongprofit.com/,4.9,124.0,Training center,,,,,,
Chennai,Tamil Nadu,Trade emperor,"No 17A Muthayal Street, Anna Salai, behind Karur Vaishya Bank, Little Mount, Saidapet, Chennai, Tamil Nadu 600015",084380 56865,http://tradeemperor.in/,4.9,110.0,Education center,tradeemporer@gmail.com,7714924381,https://www.facebook.com/people/Trade-Emperor/100063974147135/,https://www.instagram.com/trade_emperor_/,,https://www.youtube.com/@tradeemperor
Chennai,Tamil Nadu,Art Of Option Trading,"1st floor, near, Shanmugham Rd, near Marine drive, Menaka, Kochi, Kerala 682031",077369 40545,,4.9,132.0,Educational institution,,,,,,
Chennai,Tamil Nadu,JustforTraders,"4th St, Velachery, Chennai, Tamil Nadu 600042",063809 94713,https://justfortraders.in/,4.0,99.0,Education center,,6171893495,,,,https://www.youtube.com/watch?v=r_Gy_cq0gic
Chennai,Tamil Nadu,1K Traders Academy,"2nd Floor, Sony Centre Building, Annai Plaza 38, &, MTH Rd, opposite to Vasanth & Co, Ambattur, Chennai, Tamil Nadu 600053",073582 23332,http://www.1ktradersacademy.com/,4.9,21.0,Educational institution,,,,,,
Chennai,Tamil Nadu,Tradebox Capital,"2nd Floor, 118, Karuneegar St, Paramesh Nagar, Chennai, Tamil Nadu 600088",081229 48430,https://tradeboxcapital.com/,4.8,212.0,Education center,support@tradeboxcapital.com,7896166972,,https://www.instagram.com/tradeboxcapital?igsh=ZHVnZ2R4aW9kNnJh&#038;utm_source=qr,https://in.linkedin.com/in/tradebox-capital-b81887355?original_referer=https%3A%2F%2Fwww.google.com%2F,https://www.youtube.com/@Tradeboxcapital
Chennai,Tamil Nadu,Anyone Can Trade Training Academy Madurai,"Kannadasan 1st St, S S Colony, Tamil Nadu 625016",086680 75022,,5.0,130.0,Online Share Trading Center,,,,,,
Chennai,Tamil Nadu,ECTRA,"3rd Avenue, G.R.D. Towers Anna Arch Road AA Block, Shanthi Colony, Anna Nagar West, Chennai, Tamil Nadu 600040",072999 95961,http://www.sharemarketclass.in/,4.9,162.0,Training center,promo@gmail.com,6700012842,https://www.facebook.com/sharer/sharer.php?u=https://www.sharemarketclass.in,,https://www.linkedin.com/shareArticle?mini=true&amp;url=https://www.sharemarketclass.in,
Chennai,Tamil Nadu,Share Market Profile,"No 143, 1, Uthamar Gandhi Rd, opp. The park Hotel, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006",095669 77791,,4.6,9.0,Training center,,,,,,
Chennai,Tamil Nadu,Rupeedesk Training - Share market Training,"No 41, 16, Balaji Singh St, Saidapet, Chennai, Tamil Nadu 600015",044 2433 3577,http://www.rupeedesk.in/,4.9,10.0,Financial consultant,admin@rupeedesk.in,9841986753,,,,
Anna Nagar Chennai,Tamil Nadu,Trade Experts Academy,"1&1A, 13th St, U R Nagar Extension, Chennai, Tamil Nadu 600101",093617 87277,,5.0,87.0,Training center,,,,,,
Anna Nagar Chennai,Tamil Nadu,ZEUSS TRADER,"No.2/14, Bus Stand, Collector Nagar Rd, Radial Nagar, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",085249 53208,,5.0,3.0,Trade school,,,,,,
Anna Nagar Chennai,Tamil Nadu,TradingCritique,"1/1A, U R Nagar Extension, Anna Nagar West Extension, Chennai, Tamil Nadu 600050",081110 10141,,5.0,5.0,Financial institution,,,,,,
T Nagar Chennai,Tamil Nadu,Xoduse,"10/16, Zachariah Colony 1st St, near Kodambakkam, Chennai, Tamil Nadu 600094",086818 12181,https://xoduse.com/,5.0,39.0,Online Share Trading Center,xoduse@gmail.com,8398023622,,,,
T Nagar Chennai,Tamil Nadu,Goodwill Wealth Management Pvt Ltd (T.NAGAR),"First Floor28, Roop Emerald, A- 1, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017",044 6900 9752,https://www.gwcindia.in/branch-stock-broker-Chennai-T-Nagar,4.7,113.0,Stock broker,grievance@gwcindia.in,+91 8012278000,https://www.facebook.com/gwcindia,https://www.instagram.com/goodwill_wealth_management/,https://www.linkedin.com/company/goodwill-wealth-management/,https://www.youtube.com/c/GoodWillwealthmanagementpvtltd
Tambaram Chennai,Tamil Nadu,"Stock Market Box - Classes,Demat and Trading","No 91, RV Garden, W Tank St, Kadaperi, Tambaram, Tamil Nadu 600045",077089 42233,https://www.stockmarketbox.com/stores/,,,Stock broker,,,,,,
Tambaram Chennai,Tamil Nadu,Let's Face Trading Academy,"Bus stop, 909/210C, Ground Floor, Velachery Main Road, Camp Rd, behind Ganga Sweets, Selaiyur, Tambaram, Tamil Nadu 600073",099526 52752,,5.0,84.0,Coaching Center,,,,,,
Tambaram Chennai,Tamil Nadu,TRADING SECRETS ACADEMY ( CHENNAI ),"2/5, Brindavan Ave, near AG Hospital, West Tambaram, Tambaram, Tamil Nadu 600045",080569 25382,https://tradingsecretsacademy.com/,4.5,4.0,Educational institution,,,,,,
Tambaram Chennai,Tamil Nadu,Like Share Trading Academy,"33, Kalaignar Nedunchalai, New Perungalathur, Chennai, Kanchipuram, Tamil Nadu 600063",087784 55940,,,,Online Share Trading Center,,,,,,
Tambaram Chennai,Tamil Nadu,"Level Up STC- Software Training Institute-Tambaram, Chennai","145, 25A, Erikkarai St, Vinayakarpuram, East Tambaram, Tambaram, Tamil Nadu 600059",093614 53182,http://www.levelupstc.com/,4.9,70.0,Software Training Institute,,9361453182,https://www.facebook.com/Levelupstc,https://www.instagram.com/levelupstc_softwaretraining/,https://www.linkedin.com/company/levelupstc/,https://www.youtube.com/@Levelupstc
Tambaram Chennai,Tamil Nadu,Classroom Of Traders,"18 A, VOC St, Kaikankuppam, Valasaravakkam, Chennai, Tamil Nadu 600087",099622 34448,https://classroomoftraders.com/,4.9,58.0,Online Share Trading Center,info@fredrikedge.com,9199622344,https://www.facebook.com/classroomoftraders,https://www.instagram.com/classroomoftraders/,https://www.linkedin.com/company/fredrikedge,https://www.youtube.com/@classroomoftraders
Tambaram Chennai,Tamil Nadu,Tamil Share Market Training Institute,"87, 1st Floor, RK Samy Building, Sathy Rd, near Bus Stand signal, Erode, Tamil Nadu 638003",099430 83099,http://www.tamilsharemarket.net/,5.0,10.0,Training center,user@domain.com,7740756403,https://www.facebook.com/JoinTamilShareMarket/,https://www.instagram.com/tamilshare_market/,,
Tambaram Chennai,Tamil Nadu,Trader's Corner - Learn all about Stock Market,"8/18, Nobel St, Alandur, Chennai, Tamil Nadu 600016",063833 30676,https://t.me/traders_corner_tc,5.0,4.0,Training center,,7063942181,,,,
Tambaram Chennai,Tamil Nadu,Alice blue - Chennai Selaiyur branch,"14, Metha, Ganesh Nagar Main Rd, Mahalakshmi Nagar, Selaiyur, Tambaram, Tamil Nadu 600073",098406 99611,https://alicebluefinacialservice.hrmslyzoo.in/,4.9,14.0,Stock broker,,,,,,
Tambaram Chennai,Tamil Nadu,SAPT,"Tiruneermalai Main Rd, Tambaram, Tamil Nadu 600044",098431 61850,https://www.verticalprogress.in/course/SAPT---Selling-Skills-for-Business-Development,4.8,317.0,Business development service,,,,,,
Tambaram Chennai,Tamil Nadu,"Stock Market Box - Classes,Demat and Trading","No 5/8, Main Rd, behind Super Saravana Stores, Joseph Colony, Kannan Nagar, Chromepet, Tambaram, Tamil Nadu 600044",070102 54502,https://www.stockmarketbox.com/stores/,,,Stock broker,,,,,,
Tambaram Chennai,Tamil Nadu,Goodwill Wealth Management Pvt Ltd,"3rd floor, 128, 1st St, Shanthi Nagar, Tambaram, Tamil Nadu 600044",044 6900 9717,https://gwcindia.in/branch-stock-broker-Chennai-Shanthi-Nagar/,4.7,248.0,Stock broker,velacherygmb@gwcindia.in,+91 8012278000,https://www.facebook.com/gwcindia,https://www.instagram.com/goodwill_wealth_management/,https://www.linkedin.com/company/goodwill-wealth-management/,https://www.youtube.com/c/GoodWillwealthmanagementpvtltd
Tambaram Chennai,Tamil Nadu,Candlestick Masters Academy,"Shankar Nagar, Pammal, Tambaram, Tamil Nadu 600075",095661 05170,https://www.candlestickmasters.com/,5.0,40.0,Training center,,6414469394,,,,
Tambaram Chennai,Tamil Nadu,Thrive Traders Academy,"Jayalakshmi Street, Chennai, Tamil Nadu 600092",077380 57380,http://www.thethrivetraders.com/,4.9,26.0,Educational institution,,,,,,
Tambaram Chennai,Tamil Nadu,CapitalZone,"7, 1st Main Road, Landmark: Street, next to TMB and Jayam Super Market, Alamelupuram, Madambakkam, Tambaram, Tamil Nadu 600126",099621 43422,https://www.capitalzone.in/,4.0,120.0,Stock broker,contactus@capitalzone.in,9803921568,https://www.facebook.com/capitalzoneitjegan%20,https://www.instagram.com/capitalzone_itjegan/%20,,https://www.youtube.com/@CapitalZoneTamil
Tambaram Chennai,Tamil Nadu,Avadhut Sathe Trading Academy Pvt Ltd,"Flying Colors Premises Co-op Soc. Ltd Unit No.201, Pandit Dindayal Upadhyay Marg, S. Cross Road, L.B, Mulund West, Mumbai, Maharashtra 400604",072089 96417,http://www.avadhutsathe.com/,4.8,4500.0,Training center,,7979856674,https://www.facebook.com/AvadhutSatheTradingAcademy,https://www.instagram.com/avadhutsathetradingacademy,https://www.linkedin.com/company/14584923/admin/,https://www.youtube.com/channel/UCaiV1-PUXDu2Nmx8iOZkofQ
Tambaram Chennai,Tamil Nadu,T.I.M.E. - Tambaram,"2nd Floor, No: 2A, Duraiswamy Reddy St, near Passport Office, opp. Agarwal Eye Hospital, West Tambaram, Tambaram, Tamil Nadu 600045",089399 72104,http://www.time4education.com/gate,4.6,452.0,Coaching Center,,,,,,
Velachery Chennai,Tamil Nadu,Share Market Profile | Velachery,"Pournami Villa, 2A/F2, 1st Cross St, Seshadripuram, Chennai, Tamil Nadu 600042",095858 44338,,4.9,13.0,Educational consultant,,,,,,
Coimbatore,Tamil Nadu,Market Vibes Academy – Stock Market Training Institute,"No 4, 1st Floor, Om Ganesh Nagar, Vadavalli, Tamil Nadu 641041",075400 02321,https://knowledgevibes.in/stock-market-training-in-coimbatore/,4.9,494.0,Training center,,+917316966888,https://www.facebook.com/knowledgevibes/,https://www.instagram.com/knowledgevibesacademy/,https://www.linkedin.com/company/knowledge-vibes-academy/,https://www.youtube.com/channel/UC7-VvT8zO0W9oTpCOsFjKaw
Coimbatore,Tamil Nadu,TRADE ACHIEVERS TRAINING ACADEMY - COIMBATORE,"MUTHU TOWERS NO 65, 1ST FLOOR, 7TH CROSS, Bharathi Park Rd, Saibaba Colony, Tamil Nadu 641011",093848 21461,https://www.tradeachievers.com/,4.7,390.0,Online Share Trading Center,tradeachievers@gmail.com,+919384822935,https://www.facebook.com/tradeachievers,https://www.instagram.com/tradeachievers/,,https://www.youtube.com/channel/UCzk4zJEoZMnjvpoN0HlKjHQ
Coimbatore,Tamil Nadu,Stoxology - Stock Market Training Academy,"KPA Building, F2-9, 7th Street Ext, Gandhipuram, Coimbatore, Tamil Nadu 641012",073391 91596,https://stoxology.in/,4.8,43.0,Online Share Trading Center,,7339191596,,,,
Coimbatore,Tamil Nadu,SRAVN Stock Market Training Academy,"CAG Central, Nava India Rd, opposite KFC, Coimbatore, Tamil Nadu 641037",098946 86716,http://www.sravn.in/,4.7,72.0,Coaching Center,yourname@domain.com,,https://www.facebook.com/sravnfinserv?ref=hl,https://instagram.com/sravnfinserv/,https://www.linkedin.com/company/sravn-financial-services?trk=mini-profile,https://www.youtube.com/c/SravnFinancialServicesCoimbatore
Coimbatore,Tamil Nadu,TTA Traders Academy | trading institute for stock market,"guru towers, Coimbatore, Tamil Nadu 641006",099443 46556,http://www.ttatradersacademy.com/,4.9,34.0,Online Share Trading Center,info@ttatradersacademy.com,6723632812,https://www.facebook.com/TradingTamilcbe/,,https://www.linkedin.com/login,https://www.youtube.com/channel/UCFB0iTeNw-8Zk-xforL4IYA/videos
Coimbatore,Tamil Nadu,TRADE GURU TRAINING CENTER,"Cross cut, 8th St, Coimbatore, Tamil Nadu 641012",086105 14442,https://tradegurucovai.com/,4.7,128.0,Online Share Trading Center,admin@tradegurucovai.com,6347856023,https://www.facebook.com/tradegurucovai/?ref=pages_you_manage,,,
Coimbatore,Tamil Nadu,Share Market Trading Training,"115,latha Complex, Main Road, Near Railway Gate Somanur,cbe-68, coimbatore, Tamil Nadu 641659",074187 75412,https://www.stockmasternagaraj.com/,4.8,63.0,Stock broker,,9358479183,,,,
Coimbatore,Tamil Nadu,WidePro Trading Academy,"12/1, Union Rd, South, Narasimhanaickenpalayam, Tamil Nadu 641031",080154 69504,,5.0,2.0,Education center,,,,,,
Coimbatore,Tamil Nadu,Nesher Corporate,"8, Srinagar Rd, Hope College, Coimbatore, Tamil Nadu 641004",082480 29980,http://neshercorporate.in/,4.3,688.0,Stock broker,info@neshercorporate.in,9182480299,https://facebook.com,,https://linkedin.com,http://youtube.com
Coimbatore,Tamil Nadu,Profit Trading Academy,"12/46, 9th St, Siddhapudur, Tatabad, Coimbatore, Tamil Nadu 641012",090800 99166,,3.0,2.0,Corporate office,,,,,,
Coimbatore,Tamil Nadu,stock Dominators Trading academy,"shop no 35, sri sai complex, opposite to avila convent school, Coimbatore, Tamil Nadu 641025",063741 47511,https://www.stockdominators.in/,5.0,3.0,Online Share Trading Center,,,,,,
Coimbatore,Tamil Nadu,MAASAATHUVAAN TRADING INSTITUTE - NISM EXAM COACHING CENTRE,"2nd Floor, 88-C1, 5th Cross, Lal Bahadur Colony, Coimbatore, Tamil Nadu 641004",078459 76767,http://www.maasaathuvaan.in/,5.0,26.0,Educational institution,,,,,,
Coimbatore,Tamil Nadu,MARS EQUITY,"372/A3, 'SRI VRIKSHAM' 2F, V.G.R.Puram, Alagesan Rd, Saibaba Colony, Coimbatore, Tamil Nadu 641011",083001 69977,https://www.marsequity.in/about,5.0,42.0,Online Share Trading Center,,6760563380,https://www.facebook.com/marsequity,https://www.instagram.com/marsequity/,https://www.linkedin.com/company/marsequity,https://www.youtube.com/@marsequity
Coimbatore,Tamil Nadu,NEDLOG ACADEMY PVT LTD,"161, 7th St, Ganapathy, Coimbatore, Tamil Nadu 641006",079044 83540,https://nedlogacademy.com/,4.7,24.0,Educational institution,,,,,,
Coimbatore,Tamil Nadu,iTRADE CAPITAL MARKETS P LTD,"II floor 198/2, Vasu Arcade, Raja Annamalai Rd, opp. city union bank, Saibaba Colony, Coimbatore, Tamil Nadu 641011",086810 01100,http://www.itradecm.com/?i=1,4.8,106.0,Investment service,,,,,,
Coimbatore,Tamil Nadu,Sky Broking (Head Office),"Baba Complex, 40-49, 40-49, Devangapet Street Number 3, Flower Market, R.S. Puram, Coimbatore, Tamil Nadu 641001",095853 95753,https://www.gopocket.in/,4.5,83.0,Stock broker,hello@gopocket.in,8618929543,https://www.facebook.com/Gopocketoffical/,https://www.instagram.com/gopocket_official/,,https://www.youtube.com/playlist?list=PLrYyePLIggbAruYyabCqaGG7vQHG2gzoq
Coimbatore,Tamil Nadu,GIX TRADING ACADEMY,"Second Floor, SLV Aranya square, 2A, opposite to Women's polytechnic, New Siddhapudur, Tamil Nadu 641044",074184 02591,https://www.gixtradingacademy.com/,5.0,9.0,Online Share Trading Center,,,,,,
Coimbatore,Tamil Nadu,Trade with Mythili /share trading /option trading /forex trading,"18/33 PRK nagar, Irugur, Tamil Nadu 641103",086678 41969,http://www.niramcollections.in/,4.3,23.0,Online Share Trading Center,,,,,,
Coimbatore,Tamil Nadu,KIFF BOSS Academy,"1/8-Vaiyapurinagar Valiampalayam Sathy Road, post, Saravanampatti, Coimbatore, Tamil Nadu 641048",086678 74536,http://www.kiffboss.in/,4.8,19.0,Educational institution,boss@kiffboss.com,9186678745,https://www.facebook.com/KIFBOSS/,https://www.instagram.com/kiff_boss/,https://www.linkedin.com/in/shanmugan-palanisamy-625a2766,https://www.youtube.com/@Kiff_Boss
Coimbatore,Tamil Nadu,Goodwill Wealth Management Pvt Ltd (R S Puram),"Ashirwad Tower, Post Office, No 364/4-A, Diwan Bahadur Rd, behind R.S.Puram, R.S. Puram, Coimbatore, Tamil Nadu 641002",044 6900 9715,https://gwcindia.in/branch-stockbroker-coimbatore-r-s-puram/,4.9,95.0,Stock broker,Grievance@gwcindia.in,+91 8012278000,https://www.facebook.com/gwcindia,https://www.instagram.com/goodwill_wealth_management/,https://www.linkedin.com/company/goodwill-wealth-management/,https://www.youtube.com/c/GoodWillwealthmanagementpvtltd
Coimbatore,Tamil Nadu,BR Academy Pvt Ltd,"RSB Towers, SAHS College Post, 1274, Mettupalayam Main Rd, near Saibaba Temple, Coimbatore, Tamil Nadu 641043",099520 49494,https://www.bracadmy.com/,4.8,223.0,Training center,,8033250042,https://www.facebook.com/bracademys,https://www.instagram.com/bracademycbe/,https://www.linkedin.com/company/br-academy-private-limited/,https://youtube.com/@bracademys
